Operation: Node 1 Operation , Duration: 0.000922858 seconds, Memory Usage: 40328 KB
Operation: Node 2 Operation , Duration: 0.000921065 seconds, Memory Usage: 40448 KB
Operation: Node 1 Operation , Duration: 4.3354e-05 seconds, Memory Usage: 40328 KB
Operation: Node 2 Operation , Duration: 6.3122e-05 seconds, Memory Usage: 40448 KB
Operation: Coordinator Operation, Duration: 0.0014609 seconds, Memory Usage: 40592 KB
Operation: Client CREATE, Duration: 0.00143994 seconds, Memory Usage: 40448 KB
Operation: Node 1 Operation , Duration: 0.00010311 seconds, Memory Usage: 40328 KB
Operation: Node 2 Operation , Duration: 0.000107649 seconds, Memory Usage: 40448 KB
Operation: Coordinator Operation, Duration: 7.6088e-05 seconds, Memory Usage: 40592 KB
Operation: Client READ, Duration: 4.8384e-05 seconds, Memory Usage: 40448 KB
Operation: Node 1 Operation , Duration: 6.154e-05 seconds, Memory Usage: 40328 KB
Operation: Node 2 Operation , Duration: 6.2241e-05 seconds, Memory Usage: 40448 KB
Operation: Node 1 Operation , Duration: 2.6211e-05 seconds, Memory Usage: 40328 KB
Operation: Client UPDATE, Duration: 0.000139931 seconds, Memory Usage: 40448 KB
Operation: Coordinator Operation, Duration: 0.000147756 seconds, Memory Usage: 40592 KB
Operation: Node 2 Operation , Duration: 3.3235e-05 seconds, Memory Usage: 40448 KB
Operation: Node 1 Operation , Duration: 5.8653e-05 seconds, Memory Usage: 40328 KB
Operation: Coordinator Operation, Duration: 7.0336e-05 seconds, Memory Usage: 40592 KB
Operation: Client READ 2, Duration: 6.5237e-05 seconds, Memory Usage: 40448 KB
Operation: Node 2 Operation , Duration: 6.0788e-05 seconds, Memory Usage: 40576 KB
Operation: Node 1 Operation , Duration: 4.8965e-05 seconds, Memory Usage: 40328 KB
Operation: Node 2 Operation , Duration: 2.8245e-05 seconds, Memory Usage: 40576 KB
Operation: Node 1 Operation , Duration: 1.4639e-05 seconds, Memory Usage: 40328 KB
Operation: Client DELETE, Duration: 0.000101787 seconds, Memory Usage: 40448 KB
Operation: Coordinator Operation, Duration: 0.000110495 seconds, Memory Usage: 40592 KB
Operation: Node 2 Operation , Duration: 2.598e-05 seconds, Memory Usage: 40576 KB
Operation: Total Execution, Duration: 1.20454 seconds, Memory Usage: 40448 KB
Operation: Node 1 Operation , Duration: 0.000102196 seconds, Memory Usage: 40724 KB
Operation: Node 2 Operation , Duration: 0.000119317 seconds, Memory Usage: 40540 KB
Operation: Node 1 Operation , Duration: 2.749e-05 seconds, Memory Usage: 40724 KB
Operation: Node 2 Operation , Duration: 4.2077e-05 seconds, Memory Usage: 40540 KB
Operation: Coordinator Operation, Duration: 0.000262308 seconds, Memory Usage: 40776 KB
Operation: Client CREATE, Duration: 0.00025794 seconds, Memory Usage: 40664 KB
Operation: Node 1 Operation , Duration: 0.000106995 seconds, Memory Usage: 40724 KB
Operation: Node 2 Operation , Duration: 9.6426e-05 seconds, Memory Usage: 40540 KB
Operation: Client READ, Duration: 3.31e-05 seconds, Memory Usage: 40664 KB
Operation: Coordinator Operation, Duration: 5.9688e-05 seconds, Memory Usage: 40776 KB
Operation: Node 1 Operation , Duration: 6.2714e-05 seconds, Memory Usage: 40724 KB
Operation: Node 2 Operation , Duration: 5.2406e-05 seconds, Memory Usage: 40540 KB
Operation: Node 1 Operation , Duration: 1.1301e-05 seconds, Memory Usage: 40724 KB
Operation: Node 2 Operation , Duration: 1.8784e-05 seconds, Memory Usage: 40540 KB
Operation: Client UPDATE, Duration: 9.6265e-05 seconds, Memory Usage: 40664 KB
Operation: Coordinator Operation, Duration: 9.9731e-05 seconds, Memory Usage: 40776 KB
Operation: Node 1 Operation , Duration: 5.5411e-05 seconds, Memory Usage: 40724 KB
Operation: Node 2 Operation , Duration: 6.1011e-05 seconds, Memory Usage: 40668 KB
Operation: Client READ 2, Duration: 4.8258e-05 seconds, Memory Usage: 40664 KB
Operation: Coordinator Operation, Duration: 4.8077e-05 seconds, Memory Usage: 40776 KB
Operation: Node 1 Operation , Duration: 5.2405e-05 seconds, Memory Usage: 40724 KB
Operation: Node 2 Operation , Duration: 3.3762e-05 seconds, Memory Usage: 40668 KB
Operation: Node 1 Operation , Duration: 9.327e-06 seconds, Memory Usage: 40724 KB
Operation: Node 2 Operation , Duration: 1.645e-05 seconds, Memory Usage: 40668 KB
Operation: Client DELETE, Duration: 7.9184e-05 seconds, Memory Usage: 40664 KB
